,Set Name,Year,Auth,PR1,FR1.5,GOOD2,VG3,VG‑EX4,EX5,EX‑MT6,NM7,NM‑MT8,MINT9,GEM‑MT10,Total
174,Panini Immaculate Collection Prime Rookies Materials,2023,0,0,–,0,0,0,0,0,0,2,0,0,2
175,Panini Immaculate Collection Prospect Triple Memorabilia Signatures,2023,0,0,–,0,0,0,0,0,0,2,0,0,2
176,Panini Prizm,2023,0,0,–,0,0,0,3,14,8,55,240,326,646
177,Panini Prizm 20-80 Scale,2023,0,0,–,0,0,0,0,0,0,0,0,2,2
178,Panini Prizm Color Blast,2023,0,0,–,0,0,0,3,0,0,0,4,17,24
179,Panini Prizm Fireworks,2023,0,0,–,0,0,0,0,0,2,1,8,16,27
180,Panini Prizm Franchise Legends Signatures,2023,0,0,–,0,0,0,0,1,0,1,0,6,8
181,Panini Prizm Future Supers,2023,0,0,–,0,0,0,0,0,0,2,5,3,10
182,Panini Prizm Future Tools,2023,0,0,–,0,0,0,0,0,0,0,1,9,10
183,Panini Prizm Manga,2023,0,0,–,0,0,0,0,1,0,1,29,78,109
184,Panini Prizm Pot of Gold,2023,0,0,–,0,0,0,0,0,0,1,5,3,9
185,Panini Prizm Potential Penmanship,2023,0,0,–,0,0,0,0,2,0,4,18,23,47
186,Panini Prizm Prizmatic,2023,0,0,–,0,0,0,0,1,0,1,8,31,41
187,Panini Prizm Second to None,2023,0,0,–,0,0,0,0,0,0,0,5,0,5
188,Panini Prizm Sensational Signature,2023,0,0,–,0,0,0,0,0,0,0,2,2,4
189,Panini Prizm Signatures,2023,0,0,–,0,0,0,0,3,2,14,69,138,226
190,Panini Prizm the Blueprints,2023,0,0,–,0,0,0,0,0,0,0,1,1,2
191,Panini Select,2023,0,0,–,0,0,0,0,0,0,2,0,0,2
192,Panini Select Color Wheel,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
193,Panini Select Rookie Jersey Autograph,2023,0,0,–,0,0,0,0,0,0,1,0,1,2
194,Panini Select Rookie Signature,2023,0,0,–,0,0,0,0,0,0,0,2,0,2
195,Panini Stars & Stripes USA,2023,3,0,–,0,0,0,2,5,1,14,92,73,190
196,Panini Stars & Stripes USA 15U National Team Signatures,2023,0,0,–,0,0,0,0,0,0,0,4,5,9
197,Panini Stars & Stripes USA 15U National Team Signatures Materials,2023,0,0,–,0,0,0,0,0,1,1,3,3,8
198,Panini Stars & Stripes USA 18U National Team Signatures,2023,0,0,–,0,0,0,0,0,1,1,3,2,7
199,Panini Stars & Stripes USA 18U National Team Signatures 2,2023,0,0,–,0,0,0,0,0,0,0,0,3,3
200,Panini Stars & Stripes USA 18U National Team Signatures Materials,2023,0,0,–,0,0,0,0,1,0,1,3,5,10
201,Panini Stars & Stripes USA Australia U-18 World Cup Materials,2023,0,0,–,0,0,0,0,0,0,1,0,0,1
202,Panini Stars & Stripes USA Chinese Taipei U-18 World Cup Materials,2023,0,0,–,0,0,0,0,0,0,1,1,0,2
203,Panini Stars & Stripes USA Chinese Taipei U-18 World Cup Materials Signature,2023,0,0,–,0,0,0,0,0,0,3,1,0,4
204,Panini Stars & Stripes USA Collegiate National Team Signatures,2023,0,0,–,0,0,0,0,1,0,3,8,17,29
205,Panini Stars & Stripes USA Collegiate National Team Signatures Materials,2023,1,0,–,0,0,0,0,0,1,1,4,4,11
206,Panini Stars & Stripes USA Collegiate National Team Training Camp Signatures,2023,0,0,–,0,0,0,0,0,0,0,2,1,3
207,Panini Stars & Stripes USA Collegiate National Team Training Camp Signatures Materials,2023,0,0,–,0,0,0,0,0,0,0,2,1,3
208,Panini Stars & Stripes USA Jumbo Material,2023,0,0,–,0,0,0,0,1,0,1,1,1,4
209,Panini Stars & Stripes USA Kaboom!,2023,1,0,–,0,0,1,0,0,1,5,61,69,138
210,Panini Stars & Stripes USA Material,2023,0,0,–,0,0,0,0,1,1,1,2,0,5
211,Panini Stars & Stripes USA Signature Materials,2023,0,0,–,0,0,0,0,2,0,2,4,8,16
212,Panini Stars & Stripes USA Silhouettes Signatures Bats,2023,0,0,–,0,0,0,0,0,0,5,3,0,8
213,Panini Stars & Stripes USA Silhouettes Signatures Jerseys,2023,0,0,–,0,0,1,0,1,1,13,3,0,19
214,Panini Stars & Stripes USA South Africa U-18 World Cup Materials,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
215,Panini Stars & Stripes USA South Africa U-18 World Cup Materials Signature,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
216,Panini Stars & Stripes USA U-18 World Cup Materials,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
217,Panini Stars & Stripes USA U-18 World Cup Materials Signature,2023,0,0,–,0,0,0,0,0,0,0,2,1,3
218,Panini Stars & Stripes USA USA Athlete Development Program Signature Materials,2023,0,0,–,0,0,0,1,0,0,0,8,3,12
219,Panini Stars & Stripes USA USA Athlete Development Program Signatures,2023,0,0,–,0,0,0,0,0,0,1,6,3,10
